Development Stage,Material Classification,Sample Submission Date,Material Code,Active Mfg Count,Company,Material Name,Manufacturer Name,Origin,Indentor Name,Development Rates,Com Mfg Name,Net Price in USD,Per Lot Qty,UOM,Annual Qty,Existing source Total annual value,Under Dev source Total annual value,Net Saving/Loss,%Age Saving/Loss,Saving/Loss,Best Net Saving/Loss,Existing source Total annual value (10% Qty),Under Dev source Total annual value (10% Qty),Net Saving/Loss (10% Qty),%Age Saving/Loss (10% Qty),Saving/Loss (10% Qty),Annual Net Saving
AT PD PRIORITY,ASCARD,14/04/2026,111000215,4,LAB,MICROCRYSTALLINE CELLULOSE (PH 112) BP,"Mingtai Chemical Co., Ltd.",Taiwan,Pentalam Chemicals,$3.5,JRS PHARMA-Rettenmaier natural fiber (Changzhou),$3.70,9000,KG,51000,188700,178500,"$10,200",5,Saving,"$10,200",188700,178500,10200,5,Saving,"$10,200"
AT PD PRIORITY,ASCARD,30/04/2026,111000141,2,LAB,Pregelatinized Maie Starch LM,"S A Pharmachem India \nIndia",India,Dawn Impex,$4.5,Roquette,$6.00,1500,KG,18500,111000,83250,"$27,750",25,Saving,"$27,750",111000,83250,27750,25,Saving,"$27,750"
AT PD PRIORITY,MULTI SOURCE,17/06/2026,111000245,3,LAB,NEBIVILOL HCL BP,"Zhejiang Charioteer Pharmaceutical Co.,Ltd",China,IRIS,"$1,000.",CADILA PHARMACEUTICALS LTD,"$1,000.00",20,KG,100,100000,100000,$0,0,No Change,,100000,100000,0,0,No Change,
AT PD PRIORITY,ASCARD,30/06/2026,111000028,2,LAB,PROPYLENE GLYCOL BP,SK Picglobal/crimson,Korea,Transworld,$2.34,DOW CHEMICAL PACIFIC PVT LTD,$4.16,8200,KG,73285,304893.0061,171486.9,"$133,406",44,Saving,"$133,406",304893.0061,171486.9,133406.1061,44,Saving,"$133,406"
AT PD PRIORITY,NON INDIAN,01/07/2026,111000258,2,LAB,PREGABALIN BP,ZHEJIANG HUAHAI PHARMA.,China,Pentalam Chemicals,$40.,CTX LIFESCIENCES PVT. LTD,$40.00,300,KG,900,36000,36000,$0,0,No Change,$0,36000,36000,0,0,No Change,$0
AT PD PRIORITY,MERCK/SIGMA/CRODA/FISHER,09/07/2026,111000182,2,LAB,ANHYDROUS CALCIUM HYDROGEN PHOSPHATE,Sudeep,India,Rasheed sons,$4.85,MERCK Kgaa,$18.99,2100,KG,2900,55059.33118,14065,"$40,994",74,Saving,"$40,994",55059.33118,14065,40994.33118,74,Saving,"$40,994"
AT PD PRIORITY,MULTI SOURCE,24/07/2026,111000304,2,LAB,COPOVIDONE (PLASDONE-S630) BP,"Yuking Technolgies Co.,Ltd",China,BIOFAR,$14.,"STAR-TECH & JRS SPECIALTY PRODUCTS CO.,LTD",$18.50,1000,KG,6500,120250,91000,"$29,250",24,Saving,"$29,250",120250,91000,29250,24,Saving,"$29,250"
AT PD PRIORITY,NON INDIAN,24/07/2026,111000355,2,LAB,HYDROQUINONE (MICRONIZED) USP,APIONEX/GLOBAL PHARMA,India,SMART CHEM,$14.,SNA HEALTHCARE PVT. LTD.,$17.50,,KG,7000,122500,98000,"$24,500",20,Saving,"$24,500",122500,98000,24500,20,Saving,"$24,500"
AT PD PRIORITY,ASCARD,24/07/2026,111000141,2,LAB,Starch 1500 LM Partially Pregelatinized Maize Starch (Low Moisture) 2002,COLORCON,USA,Paradise,$7.,Roquette,$6.00,1500,KG,18500,111000,129500,"($18,500)",-17,Loss,,11100,12950,-1850,-17,Loss,
AT PD PRIORITY,Single Origin,03/08/2026,111000357,2,LAB,HYDROCORTISONE ACETATE BP,Zhejiang Xianju,China,Neon,$200.,TIANJIN JINJIN PHARMACEUTICALS,$205.00,50,KG,70,14350,14000,$350,2,Saving,$350,14350,14000,350,2,Saving,$350
UNDER ARRANGEMENT,PROJECT,China,111000112,2,LAB,Valsartan USP,Menovo,China,Gudia,$37.4,Zhejiang Tianyu Pharmaceutical CO. Ltd.,$54.00,550,KG,3675,198450,137445,"$61,005",31,Saving,"$61,005",198450,137445,61005,31,Saving,"$61,005"
UNDER ARRANGEMENT,MULTI SOURCE,China,111000208,3,LAB,Rosuvastatin Calcium BP,Menovo,China,Gudia,$163.,CTX Lifescience PVT LTD,$155.00,25,KG,72,11160,11736,($576),-5,Loss,($576),11160,11736,-576,-5,Loss,($576)
UNDER ARRANGEMENT,PROJECT,China,111000305,4,LAB,CLOPIDOGREL BISULFATE USP,Menovo,China,Gudia,$40.,SYNTHIMED LABS PRIVATE LIMITED,$45.00,1000,KG,1250,56250,50000,"$6,250",11,Saving,"$6,250",56250,50000,6250,11,Saving,"$6,250"
UNDER ARRANGEMENT,CORE INDIAN,India,111000311,2,LAB,DEXTROMETHORPHAN HYDROBROMIDE BP,Onerio,India,IRIS,$86.,WOCKHARDT LIMITED,$83.00,825,KG,825,68475,70950,"($2,475)",-4,Loss,"($2,475)",68475,70950,-2475,-4,Loss,"($2,475)"
