Maturity Status,Indentor,Status,COMPANY,Material Code,Material Name,Manufacturer Name,Origin,Commercialized Manufacturer Name,Per Lot Qty,Last Net Price in USD(Exist Sour),Per Lot Value ($)-Exist Sourc,Annual Qty Jul 2025 to Jun 2026,UOM,New Sourc Per lot Price($),Per lot Value - New Source $,Per Lot Diff,Per Annum Value $ - Exist Sou,Per Annum Value $ - New Sou,Per Annum Diff,Adjusted Annual Qty 10% of -ve,10% Adj Annum Value $ - Exist Sou,10% Adj Qty Annum Value $ - New Sou,Annual Net Saving in USD,AVL Added Dt,Last PO date,Ordering,Open PR & Date,Material Classification
NON MATURED,Falcon,ACTIVE,LAB,111000330,"HG CAP SIZE 2,CAP LIGHT GREN,BODY WHIT T","JIANGSU LEFAN CAPSULE CO., LTD",CHINA,PHARMNOVA PVT LTD,10500,$0.32 ,"$3,398 ","10,500.00",HND,0.18,1890,"$1,508 ","$3,398 ","$1,890 ","$1,508 ",10500,"$3,398 ","$1,890 ","$1,508 ",1/29/2026,29/06/2026,ORDER NEED TO PLACE-UPON PR,,MULTI SOURCE
NON MATURED,Falcon,ACTIVE,LAB,111000340,"HG CAP SIZE-1, CAP BLUE-OP, BODY WHITE-O","JIANGSU LEFAN CAPSULE CO., LTD",CHINA,Suzhou Capsugel Ltd.,10000,$0.21 ,"$2,050 ",,HND,0.18,1800,$250 ,,,,,,,,1/29/2026,08/07/2026,ORDER NEED TO PLACE-UPON PR,,MULTI SOURCE
NON MATURED,Falcon,ACTIVE,LAB,111000341,"HG CAP SIZE 2,CAP YELLOW,BODY YELLOW SYN","JIANGSU LEFAN CAPSULE CO., LTD",CHINA,Suzhou Capsugel Ltd.,11250,$0.20 ,"$2,194 ","11,250.00",HND,0.18,2025,$169 ,"$2,194 ","$2,025 ",$169 ,11250,"$2,194 ","$2,025 ",$169 ,1/29/2026,07/11/2025,ORDER NEED TO PLACE-UPON PR,,MULTI SOURCE
NON MATURED,Noshad Trading,ACTIVE,LAB,111000343,FUSIDIC ACID (MICRONIZED) BP,Gansu Haotian PharmaTech Co. Ltd,CHINA,JOYANG  LABORATORIES,48,$298.00 ,"$14,304 ",252,KG,295,14160,$144 ,"$75,096 ","$74,340 ",$756 ,252,"$75,096 ","$74,340 ",$756 ,04/06/2026,02/06/2026,ORDER NEED TO PLACE-UPON PR,,Single Origin
NON MATURED,Neon chemical,ACTIVE,LAB,111000346,FAMCICLOVIR USP,"ZHEJIANG CHARIOTEER PHARMACEUTICAL CO., LTD.",CHINA,"SHANGHAI PHARMA GROUP CHONGZHOU KONY PHARMACEUTICAL CO., LTD.",175,$334.00 ,"$58,450 ",325,KG,370,64750,"($6,300)","$108,550 ","$120,250 ","($11,700)",32.5,"$10,855 ","$12,025 ","($1,170)",05/05/2026,08/07/2026,ORDER NOT PLACED-FROM NEWLY ADDED SOURCE,"(1000412733, RMIMAT, 10-Aug-26, 150 KG)",PROJECT
NON MATURED,Gudia Pvt Ltd,ACTIVE,LAB,111000352,GENTAMICIN SULPHATE BP,"Fujian Fukang Pharmaceutical Co., Ltd.",CHINA,YANTAI JUSTAWARE PHARMA  (Fuan Pharmaceutical Group),100000,$0.24 ,"$24,000 ","200,000.00",G,0.325,32500,"($8,500)","$48,000 ","$65,000 ","($17,000)",20000,"$4,800 ","$6,500 ","($1,700)",10/07/2025,03/04/2026,ORDER NOT PLACED-FROM NEWLY ADDED SOURCE,,Single Origin
NON MATURED,Morgan chemical,ACTIVE,LAB,111000393,DAPAGLIFLOZIN PROPANEDIOL MONOHYDRATE,"Weifang Hishine Pharmaceutical Co., Ltd.",CHINA,"FUXIN LONG RUI PHARMACEUTICAL CO., LTD",10,$230.00 ,"$2,300 ",,KG,230,2300,$0 ,,,,,,,,11/07/2025,15/06/2025,ORDER NEED TO PLACE-UPON PR,"(1100001439, RMIMAT, 19-Aug-26, 10 KG)",Single Origin
NON MATURED,Pentalam,ACTIVE,LAB,111000403,TOFACITINIB  CITRATE(MS),"Zhejiang Huahai Pharmaceuticals Co., Ltd",CHINA,Kaifeng Pharmaceutical Group Co Ltd,5,"$1,320.00 ","$6,600 ",15,KG,1380,6900,($300),"$19,800 ","$20,700 ",($900),1.5,"$1,980 ","$2,070 ",($90),4/30/2026,02/03/2026,ORDER NEED TO PLACE-UPON PR,,Single Origin
NON MATURED,Pentalam,ACTIVE,LAB,111000405,,"Zhejiang Huahai Pharmaceuticals Co., Ltd",CHINA,,,,,,,1100,,,,,,,,,,9/30/2025,,ORDER NEED TO PLACE-UPON PR,,Single Origin
NON MATURED,Smart chemicals,ACTIVE,LAB,111000412,ISOCONAZOLE NITRATE (MICRONIZED) BP,"CHANGZHOU JINSHEN PHARMACEUTICAL FACTORY CO., LIMITED",CHINA,Gufic Bioscience Limited,25,$145.00 ,"$3,625 ",25,KG,105,2625,"$1,000 ","$3,625 ","$2,625 ","$1,000 ",25,"$3,625 ","$2,625 ","$1,000 ",8/17/2026,03/03/2026,ORDER NEED TO PLACE-UPON PR,,MULTI SOURCE
NON MATURED,NEXT CHEM,ACTIVE,LAB,111000417,LETROZOLE USP,Lianyungang  Guike pharmaceutical Co. Ltd,CHINA,"Jiangsu Nhwa sede Pharmaceutical Co.,Ltd.",2,"$1,425.00 ","$2,850 ",4,KG,1500,3000,($150),"$5,700 ","$6,000 ",($300),0.4,$570 ,$600 ,($30),11/14/2025,30/01/2026,ORDER NEED TO PLACE-UPON PR,"(1000412454, RMIMAT, 10-Aug-26, 2 KG)",Single Origin
NON MATURED,Drug Links,ACTIVE,LAB,111000423,ASCORBIC ACID,"Heilongjiang NHU Biotechnology Co., Ltd.",CHINA,LUWEI PHARMA CO LTD,25,$2.66 ,$67 ,25,KG,8,200,($133),$67 ,$200 ,($133),2.5,$7 ,$20 ,($13),12/10/2025,27/02/2026,ORDER NOT PLACED-FROM NEWLY ADDED SOURCE,,Single Origin
