Year,Material Code,Company,Material Name,Supplier Name,Manufacturer Name,PO Quantity,UOM,Net Price in USD,Historic Date,Latest Historic Net Price USD,Historic Supplier Name,Historic Manufacturer Name,Current Rate Total PO Value,Last Rate Total PO Value,Annual Net Saving in USD,% Age (Sav/Los),Mfg Status,Saving/Loss Impact
Jul-26,111000060,LAB,BUTYLATED HYDROXYANISOLE BP, SABCON CHEMICALS,DALIAN PANASIA LTD,20000,G,0.017979144,29/01/2024 0:00,0.020136641, SABCON CHEMICALS,SABCON CHEMICALS,359.5828839,402.7328299,$43 ,10.71428571,Diff Mfg,Positive
Jul-26,111000199,LAB,HYDROCHLORIC ACID 37% BP, Alpine Chemical Solution,MERCK Kgaa,10,L,37.39661992,06/02/2026 0:00,35.95828839, Alpine Chemical Solution,MERCK Kgaa,373.9661992,359.5828839,($14),-4,Same Mfg,Negative
Jul-26,114000067,AHL,LIQUID SORBITOL (NON-CRYSTALLISING)  BP, UNITED CHEMICAL CORPORAT,HABIB RICE PRODUCTS,9900,KG,0.809061489,07/01/2026 0:00,0.7731032, UNITED CHEMICAL CORPORAT,HABIB RICE PRODUCTS,8009.708738,7653.721683,($356),-4.651162791,Same Mfg,Negative
Jul-26,114000097,AHL,GLYCERYL MONOSTEARATE USP/NF, A.M.YOUSUF & CO.,"OLEOFINE ORGANICS SDN. BHD, MALAYSIA",300,KG,3.056454513,21/10/2025 0:00,2.44516361, A.M.YOUSUF & CO.,"OLEOFINE ORGANICS SDN. BHD, MALAYSIA",916.9363538,733.5490831,($183),-25,Same Mfg,Negative
Jul-26,114000017,AHL,ZINC OXIDE, ALPHA CHEMICAL CO.,Arabian Zinc Oxide Factory,800,KG,4.602660913,17/02/2026 0:00,4.135203164, ALPHA CHEMICAL CO.,Arabian Zinc Oxide Factory,3682.128731,3308.162531,($374),-11.30434783,Same Mfg,Negative
Jul-26,114000017,AHL,ZINC OXIDE, ALPHA CHEMICAL CO.,Arabian Zinc Oxide Factory,800,KG,4.602660913,17/02/2026 0:00,4.135203164, ALPHA CHEMICAL CO.,Arabian Zinc Oxide Factory,3682.128731,3308.162531,($374),-11.30434783,Same Mfg,Negative
Jul-26,114000042,AHL,MENTHOL BP, MEHRAN TRADERS,"SHANGDONG XINHUA, CHINA.",25,KG,20.67601582,08/07/2025 0:00,21.197411, MEHRAN TRADERS,"SHANGDONG XINHUA, CHINA.",516.9003955,529.9352751,$13 ,2.45971162,Same Mfg,Positive
Jul-26,114000055,AHL,PROPYLENE GLYCOL BP/USP, BROTHERS ENTERPRISES (PV,DOW CHEMICAL PACIFIC PTE LTD,1075,KG,4.160373966,24/01/2023 0:00,2.804746494, AFTAB CHEMICAL CO.,LYONDELL SOUTH ASIA PTE.LTD,4472.402014,3015.102481,"($1,457)",-48.33333333,Diff Mfg,Negative
Aug-26,111000024,LAB,WHITE SOFT PARAFFIN BP, ROYAL CHEMICALS,ROSE POLYMER IRAN.,2100,KG,2.481121899,12/06/2026 0:00,2.157497303, BIOINVENTIA,ROSE POLYMER IRAN.,5210.355987,4530.744337,($680),-15,Same Mfg,Negative
Aug-26,111000024,LAB,WHITE SOFT PARAFFIN BP, SABCON CHEMICALS,APAR Industries Limited,14000,KG,2.696871629,12/06/2026 0:00,2.157497303, BIOINVENTIA,ROSE POLYMER IRAN.,37756.2028,30204.96224,"($7,551)",-25,Diff Mfg,Negative
Aug-26,111000024,LAB,WHITE SOFT PARAFFIN BP, SABCON CHEMICALS,APAR Industries Limited,14000,KG,2.696871629,12/06/2026 0:00,2.157497303, BIOINVENTIA,ROSE POLYMER IRAN.,37756.2028,30204.96224,"($7,551)",-25,Diff Mfg,Negative
Aug-26,111000046,LAB,SODIUM LAURYL ETHER SULPHATE BP, A.M.YOUSUF & CO.,Edenor Technology,6500,KG,2.696871629,12/06/2026 0:00,2.822725638, OLSTAR ENTERPRISES,Edenor Technology,17529.66559,18347.71665,$818 ,4.458598726,Same Mfg,Positive
Aug-26,111000046,LAB,SODIUM LAURYL ETHER SULPHATE BP, OLSTAR ENTERPRISES,Edenor Technology,6500,KG,2.696871629,12/06/2026 0:00,2.822725638, OLSTAR ENTERPRISES,Edenor Technology,17529.66559,18347.71665,$818 ,4.458598726,Same Mfg,Positive
Aug-26,111000176,LAB,CETYL ALCOHOL BP, ALPHA CHEMICAL CO.,Edenor Technology,1000,KG,2.750809061,12/06/2026 0:00,2.840704782, HAAMEEM,Edenor Technology,2750.809061,2840.704782,$90 ,3.164556962,Same Mfg,Positive
Aug-26,111000176,LAB,CETYL ALCOHOL BP, ALPHA CHEMICAL CO.,Edenor Technology,2000,KG,2.750809061,12/06/2026 0:00,2.840704782, HAAMEEM,Edenor Technology,5501.618123,5681.409565,$180 ,3.164556962,Same Mfg,Positive
Jul-26,111000042,LAB,LIQUID SORBITOL (NON-CRYSTALLISING)  BP, MAK KEMIKAL,Habib Rice Products Ltd.,8250,KG,0.809061489,12/06/2026 0:00,0.812657318, UNITED CHEMICAL CORPORAT,Habib Rice Products Ltd.,6674.757282,6704.422869,$30 ,0.442477876,Same Mfg,Positive
